Atom type,Coordinate-X,Coordinate-Y,Coordinate-Z,Mulliken charges,NPA charges,NMR Shielding
1,0.04382,-2.35802,-1.87488,0.153546,0.21864,23.3643333333
1,1.65316,-3.91779,-0.84213,0.144741,0.21566,23.6120166667
1,3.01464,-3.1944,1.10639,0.145160,0.21464,23.6120166667
1,2.73661,-0.90192,2.01738,0.145266,0.21512,23.8041000000
1,1.1083,0.64825,1.00607,0.183991,0.22358,24.4655333333
6,-4.34827,-0.08531,0.33809,-0.161001,-0.19026,26.3480000000
6,-3.19844,-0.81878,0.50439,-0.209849,-0.19855,32.6027000000
6,-1.93041,-0.24439,0.23057,0.168792,0.13192,12.9174000000
6,-1.88084,1.11302,-0.21485,0.148104,-0.10939,36.2068000000
6,-3.09545,1.83131,-0.38284,-0.289401,-0.20455,34.5397000000
6,-4.33025,1.27009,-0.11227,-0.241875,-0.35717,9.7292000000
1,-5.30894,-0.54346,0.55488,0.158734,0.22209,22.7043000000
1,-3.21713,-1.84685,0.85108,0.148552,0.22453,22.7951000000
6,-0.60166,1.66676,-0.46542,-0.169423,-0.14421,27.5519000000
1,-3.04215,2.86707,-0.71256,0.185252,0.21384,22.8693000000
6,0.51714,0.89297,-0.28138,-0.156761,-0.26841,44.8566000000
6,0.35371,-0.44443,0.15342,-0.070456,0.04732,14.1407000000
1,-0.52079,2.70047,-0.79169,0.144282,0.21298,22.9852000000
1,1.51311,1.28568,-0.45718,0.143384,0.21885,23.7806000000
1,1.23037,-1.07284,0.30184,0.140577,0.19030,22.1382000000
7,-0.8101,-1.00381,0.4021,-0.216416,-0.40285,-146.2422000000
5,-5.71901,2.08792,-0.33142,0.562738,1.16556,100.6342000000
9,-6.29616,2.59136,0.80951,-0.342349,-0.52762,332.0933000000
9,-6.65131,1.19345,-1.01358,-0.425710,-0.59487,321.0578000000
9,-5.47791,3.15292,-1.29532,-0.424748,-0.59337,329.8420000000
19,-5.22051,1.36466,-3.13469,0.907573,0.96386,1290.5202000000
6,0.63807,1.50904,1.67229,-0.459538,-0.63014,160.1992000000
6,-0.15744,2.2181,0.60574,0.057954,-0.01105,13.5732000000
6,-0.4266,3.58067,0.7753,-0.156357,-0.21244,32.8434000000
6,-1.16092,4.3105,-0.15397,-0.129816,-0.19349,32.3902000000
6,-1.65038,3.68042,-1.29218,-0.172038,-0.22275,37.8439000000
6,-1.38342,2.32976,-1.48603,-0.066659,-0.19302,22.0112000000
6,-0.64704,1.58129,-0.55686,-0.165634,-0.32952,26.5290000000
15,-0.40667,-0.18301,-1.06111,0.085429,0.82403,296.9701000000
6,1.30351,-0.58192,-0.48658,-0.058203,-0.31493,22.8274000000
6,1.55468,-1.52021,0.52032,-0.239314,-0.21496,31.5108000000
6,2.85354,-1.84476,0.89492,-0.167467,-0.21932,39.6538000000
6,3.92772,-1.22567,0.26325,-0.136553,-0.20534,37.1246000000
6,3.68845,-0.29459,-0.74237,-0.159249,-0.20825,34.2893000000
6,2.39058,0.03725,-1.14015,0.084695,-0.02001,18.4071000000
6,2.18318,1.06127,-2.22648,-0.514266,-0.63508,162.4198000000
6,-1.48082,-1.12788,0.10287,-0.029845,-0.32782,24.7254000000
6,-2.23154,-0.49323,1.09895,-0.138516,-0.20446,29.7036000000
6,-3.09748,-1.21233,1.91685,-0.186635,-0.21659,38.4446000000
6,-3.22654,-2.586,1.74397,-0.138668,-0.20118,37.3354000000
6,-2.50118,-3.22383,0.7421,-0.142089,-0.20895,32.1529000000
6,-1.63416,-2.51921,-0.09626,0.002377,-0.01416,15.9524000000
6,-0.89162,-3.25082,-1.18525,-0.494170,-0.63930,163.2813000000
1,0.21611,0.53647,1.9222,0.176156,0.22610,30.0864000000
1,1.66791,1.33094,1.35482,0.178163,0.23076,31.1047000000
1,0.6683,2.10879,2.58407,0.141574,0.21336,30.2459000000
1,-0.05374,4.07801,1.66583,0.136131,0.21024,23.8994000000
1,-1.35038,5.36562,0.01484,0.143958,0.21458,23.6039500000
1,-2.22725,4.2332,-2.02601,0.144694,0.21636,23.6871500000
1,-1.74611,1.83521,-2.38144,0.154216,0.22028,23.0570000000
1,0.72221,-1.98415,1.03663,0.206609,0.22167,24.1915000000
1,3.02309,-2.57179,1.68248,0.143734,0.21492,24.1225000000
1,4.94646,-1.46718,0.54824,0.141391,0.21409,24.0397000000
1,4.52716,0.18615,-1.23733,0.133225,0.21020,24.0397000000
1,3.11729,1.27027,-2.75095,0.140053,0.21619,29.9011000000
1,1.80638,2.0056,-1.82297,0.183149,0.22718,30.4772000000
1,1.44838,0.72162,-2.96208,0.181183,0.22757,29.1773000000
1,-2.14633,0.57842,1.22969,0.203959,0.22174,24.1915000000
1,-3.66753,-0.69823,2.68377,0.142615,0.21475,23.8994000000
1,-3.89683,-3.15877,2.37648,0.141707,0.21383,23.6871500000
1,-2.61708,-4.2937,0.59585,0.134064,0.21007,23.6039500000
1,-0.99814,-2.74292,-2.14788,0.175346,0.23065,28.9533000000
1,0.18103,-3.30831,-0.9802,0.183934,0.22799,29.5413000000
1,-1.26475,-4.27043,-1.29525,0.138702,0.21622,29.7367000000
6,-3.90799,-2.61003,0.47664,-0.281898,-0.40029,165.5606000000
